Genotype	Disease_Score	Rep
EF1	1	1
EF1	3	2
EF1	1	3
EF1	4	4
EF1	3	5
EF1	1	6
EF1	4	7
EF1	2	8
EF1	3	9
EF1	1	10
EF2	2	1
EF2	3	2
EF2	5	3
EF2	6	4
EF2	5	5
EF2	3	6
EF2	2	7
EF2	4	8
EF2	2	9
EF2	1	10
EF3	1	1
EF3	1	2
EF3	1	3
EF3	2	4
EF3	4	5
EF3	1	6
EF3	2	7
EF3	1	8
EF3	1	9
EF3	1	10
EF4	2	1
EF4	1	2
EF4	4	3
EF4	3	4
EF4	1	5
EF4	4	6
EF4	1	7
EF4	4	8
EF4	3	9
EF4	1	10
EF5	1	1
EF5	3	2
EF5	3	3
EF5	1	4
EF5	1	5
EF5	1	6
EF5	2	7
EF5	1	8
EF5	6	9
EF5	3	10
EF6	3	1
EF6	3	2
EF6	1	3
EF6	6	4
EF6	4	5
EF6	7	6
EF6	3	7
EF6	3	8
EF6	5	9
EF6	4	10
EF7	6	1
EF7	1	2
EF7	5	3
EF7	5	4
EF7	6	5
EF7	4	6
EF7	5	7
EF7	5	8
EF7	5	9
EF7	5	10
EF8	5	1
EF8	2	2
EF8	4	3
EF8	2	4
EF8	1	5
EF8	2	6
EF8	3	7
EF8	4	8
EF8	5	9
EF8	3	10
EF9	4	1
EF9	1	2
EF9	6	3
EF9	4	4
EF9	5	5
EF9	4	6
EF9	5	7
EF9	5	8
EF9	5	9
EF9	6	10
EF10	3	1
EF10	1	2
EF10	3	3
EF10	1	4
EF10	1	5
EF10	5	6
EF10	5	7
EF10	5	8
EF10	4	9
EF10	4	10
EF11	1	1
EF11	1	2
EF11	1	3
EF11	1	4
EF11	1	5
EF11	1	6
EF11	1	7
EF11	1	8
EF11	1	9
EF11	1	10
EF12	1	1
EF12	7	2
EF12	3	3
EF12	1	4
EF12	2	5
EF12	1	6
EF12	6	7
EF12	1	8
EF12	1	9
EF12	6	10
EF13	4	1
EF13	5	2
EF13	5	3
EF13	5	4
EF13	1	5
EF13	5	6
EF13	5	7
EF13	4	8
EF13	5	9
EF13	2	10
EF14	2	1
EF14	5	2
EF14	2	3
EF14	3	4
EF14	2	5
EF14	2	6
EF14	5	7
EF14	3	8
EF14	3	9
EF14	3	10
EF15	2	1
EF15	6	2
EF15	5	3
EF15	2	4
EF15	3	5
EF15	3	6
EF15	4	7
EF15	2	8
EF15	5	9
EF15	3	10
EF16	2	1
EF16	2	2
EF16	1	3
EF16	4	4
EF16	2	5
EF16	1	6
EF16	2	7
EF16	4	8
EF16	7	9
EF16	2	10
EF17	5	1
EF17	3	2
EF17	2	3
EF17	1	4
EF17	3	5
EF17	1	6
EF17	4	7
EF17	1	8
EF17	4	9
EF17	5	10
EF18	4	1
EF18	1	2
EF18	1	3
EF18	1	4
EF18	4	5
EF18	1	6
EF18	1	7
EF18	1	8
EF18	3	9
EF18	2	10
EF19	6	1
EF19	1	2
EF19	1	3
EF19	1	4
EF19	6	5
EF19	2	6
EF19	5	7
EF19	2	8
EF19	5	9
EF19	2	10
EF20	2	1
EF20	2	2
EF20	1	3
EF20	1	4
EF20	1	5
EF20	1	6
EF20	3	7
EF20	1	8
EF20	5	9
EF20	4	10
EF21	2	1
EF21	1	2
EF21	1	3
EF21	1	4
EF21	1	5
EF21	1	6
EF21	3	7
EF21	1	8
EF21	5	9
EF21	4	10
EF22	1	1
EF22	4	2
EF22	1	3
EF22	2	4
EF22	1	5
EF22	4	6
EF22	2	7
EF22	1	8
EF22	3	9
EF22	1	10
EF23	2	1
EF23	1	2
EF23	1	3
EF23	3	4
EF23	1	5
EF23	1	6
EF23	6	7
EF23	2	8
EF23	5	9
EF23	4	10
EF24	6	1
EF24	3	2
EF24	4	3
EF24	3	4
EF24	5	5
EF24	5	6
EF24	5	7
EF24	7	8
EF24	6	9
EF24	6	10
EF25	4	1
EF25	1	2
EF25	1	3
EF25	4	4
EF25	5	5
EF25	1	6
EF25	4	7
EF25	7	8
EF25	5	9
EF25	1	10
EF26	6	1
EF26	1	2
EF26	5	3
EF26	5	4
EF26	3	5
EF26	1	6
EF26	5	7
EF26	7	8
EF26	3	9
EF26	5	10
EF27	4	1
EF27	1	2
EF27	1	3
EF27	1	4
EF27	3	5
EF27	1	6
EF27	5	7
EF27	4	8
EF27	1	9
EF27	2	10
EF28	3	1
EF28	3	2
EF28	1	3
EF28	1	4
EF28	1	5
EF28	1	6
EF28	5	7
EF28	2	8
EF28	2	9
EF28	1	10
EF29	3	1
EF29	4	2
EF29	3	3
EF29	1	4
EF29	1	5
EF29	1	6
EF29	3	7
EF29	5	8
EF29	6	9
EF29	3	10
EF30	1	1
EF30	2	2
EF30	1	3
EF30	2	4
EF30	2	5
EF30	1	6
EF30	1	7
EF30	1	8
EF30	1	9
EF30	2	10
EF31	1	1
EF31	2	2
EF31	1	3
EF31	4	4
EF31	1	5
EF31	2	6
EF31	2	7
EF31	2	8
EF31	1	9
EF31	2	10
EF32	3	1
EF32	2	2
EF32	1	3
EF32	2	4
EF32	1	5
EF32	1	6
EF32	2	7
EF32	2	8
EF32	5	9
EF32	2	10
EF33	3	1
EF33	5	2
EF33	1	3
EF33	3	4
EF33	1	5
EF33	1	6
EF33	3	7
EF33	5	8
EF33	5	9
EF33	4	10
EF34	3	1
EF34	2	2
EF34	1	3
EF34	3	4
EF34	2	5
EF34	1	6
EF34	4	7
EF34	2	8
EF34	3	9
EF34	1	10
EF35	5	1
EF35	6	2
EF35	7	3
EF35	6	4
EF35	7	5
EF35	5	6
EF35	5	7
EF35	7	8
EF35	5	9
EF35	5	10
EF36	1	1
EF36	2	2
EF36	3	3
EF36	3	4
EF36	1	5
EF36	2	6
EF36	5	7
EF36	4	8
EF36	5	9
EF36	2	10
EF37	6	1
EF37	1	2
EF37	6	3
EF37	3	4
EF37	1	5
EF37	2	6
EF37	4	7
EF37	5	8
EF37	6	9
EF37	4	10
EF38	4	1
EF38	3	2
EF38	4	3
EF38	5	4
EF38	5	5
EF38	3	6
EF38	3	7
EF38	6	8
EF38	1	9
EF38	1	10
EF39	2	1
EF39	1	2
EF39	4	3
EF39	5	4
EF39	4	5
EF39	2	6
EF39	4	7
EF39	7	8
EF39	6	9
EF39	5	10
EF40	4	1
EF40	5	2
EF40	5	3
EF40	5	4
EF40	5	5
EF40	5	6
EF40	6	7
EF40	7	8
EF40	6	9
EF40	5	10
EF41	5	1
EF41	5	2
EF41	5	3
EF41	5	4
EF41	4	5
EF41	4	6
EF41	4	7
EF41	4	8
EF41	5	9
EF41	2	10
EF42	2	1
EF42	3	2
EF42	1	3
EF42	1	4
EF42	2	5
EF42	1	6
EF42	2	7
EF42	4	8
EF42	5	9
EF42	1	10
EF43	1	1
EF43	1	2
EF43	6	3
EF43	6	4
EF43	5	5
EF43	1	6
EF43	3	7
EF43	3	8
EF43	4	9
EF43	5	10
EF44	3	1
EF44	2	2
EF44	1	3
EF44	4	4
EF44	6	5
EF44	2	6
EF44	7	7
EF44	4	8
EF44	5	9
EF44	5	10
EF45	4	1
EF45	2	2
EF45	3	3
EF45	3	4
EF45	1	5
EF45	4	6
EF45	7	7
EF45	2	8
EF45	5	9
EF45	4	10
EF46	3	1
EF46	1	2
EF46	1	3
EF46	3	4
EF46	7	5
EF46	2	6
EF46	5	7
EF46	4	8
EF46	3	9
EF46	4	10
EF47	1	1
EF47	1	2
EF47	4	3
EF47	4	4
EF47	2	5
EF47	3	6
EF47	4	7
EF47	3	8
EF47	5	9
EF47	1	10
EF48	4	1
EF48	1	2
EF48	5	3
EF48	1	4
EF48	1	5
EF48	1	6
EF48	1	7
EF48	3	8
EF48	1	9
EF48	1	10
EF49	3	1
EF49	2	2
EF49	2	3
EF49	1	4
EF49	2	5
EF49	1	6
EF49	3	7
EF49	4	8
EF49	1	9
EF49	1	10
EF50	2	1
EF50	3	2
EF50	1	3
EF50	4	4
EF50	4	5
EF50	1	6
EF50	4	7
EF50	3	8
EF50	6	9
EF50	3	10
EF51	5	1
EF51	2	2
EF51	5	3
EF51	6	4
EF51	2	5
EF51	5	6
EF51	7	7
EF51	7	8
EF51	3	9
EF51	7	10
EF52	3	1
EF52	5	2
EF52	6	3
EF52	4	4
EF52	3	5
EF52	4	6
EF52	5	7
EF52	4	8
EF52	1	9
EF52	3	10
EF53	4	1
