	Pi	SegSites	PairwiseDiff
BUSCOfEOG7BGHW7	0.016478884	158	28.32411067
BUSCOfEOG7BP8B9	0.020623478	210	35.7312253
BUSCOfEOG7BP8F0	0.016116022	67	11.58893281
BUSCOfEOG7BS4KJ	0.019449086	153	26.76679842
BUSCOfEOG7BS4NR	0.036643129	184	34.67588933
BUSCOfEOG7CK3H3	0.020375737	164	24.92094862
BUSCOfEOG7CNZQV	0.019678722	171	29.53754941
BUSCOfEOG7CVQ6R	0.021828244	176	32.5256917
BUSCOfEOG7D59ZK	0.01998482	130	22.06324111
BUSCOfEOG7F2528	0.016959824	282	48.81422925
BUSCOfEOG7FJH8N	0.025571164	303	53.08695652
BUSCOfEOG7FJHC6	0.018224802	85	13.3201581
BUSCOfEOG7G4QRH	0.017846914	144	21.99209486
BUSCOfEOG7GN2WM	0.019710989	183	34.22529644
BUSCOfEOG7HXD0B	0.017215269	311	46.24110672
BUSCOfEOG7WMCVV	0.024138835	151	26.33992095
BUSCOfEOG7WX0KP	0.019768763	157	29.2173913
BUSCOfEOG71RXTM	0.018504947	206	31.82608696
BUSCOfEOG76X682	0.022137971	221	37.87747036
BUSCOfEOG77DJGT	0.018612872	126	23.4743083
BUSCOfEOG77WWPP	0.023905319	119	20.86956522
BUSCOfEOG78SQVJ	0.016312593	106	17.75494071
BUSCOfEOG78WM1V	0.016807727	156	29.93675889
BUSCOfEOG78WM3D	0.019585735	79	13.29644269
BUSCOfEOG79GTFQ	0.016262676	363	61.93675889
BUSCOfEOG722JJC	0.019250051	178	33.01581028
BUSCOfEOG751NSD	0.019251247	168	29.12648221
BUSCOfEOG7034SQ	0.016451162	110	17.11067194
BUSCOfEOG7647D5	0.018696217	215	36.22924901
BUSCOfEOG706113	0.017966115	170	30.95652174
